country_code,observed_year_pairs,median_annual_gap_closure_speed,implied_remaining_gap_half_life_years
ABW,18,0.11974590505830401,5.4345445116544395
AFG,17,0.009615398229474761,71.7400730283925
AGO,28,0.007463185073387602,92.52851182879235
ALB,29,0.04743078621678071,14.264486265763768
AND,24,0.10539709373112272,6.223524748483225
ARE,23,0.08583091631754217,7.72397207563441
ARG,32,0.05514241580077647,12.22027744495646
ARM,28,0.018928900697768265,36.270781899999044
ATG,29,0.02584599341169108,26.470274827011664
AUS,26,0.09583979930033065,6.879960090869448
AUT,30,0.07312410807718339,9.128092039467647
AZE,27,0.05217391304347838,12.935652371131434
BDI,33,0.0009073492892428671,763.578787019289
BEL,33,0.0785419730836584,8.473883757854155
BEN,28,0.003831773417071924,180.54782056913987
BFA,27,0.005805319925531914,119.05170886289484
BGD,27,0.008080807595959597,85.42992648925106
BGR,31,0.03749420903778403,18.137998715214927
BHR,19,0.0503095778755836,13.428083468737588
BHS,26,0.039882943143812716,17.03061491653752
BIH,27,0.053557780735297475,12.592291506406367
BLR,26,0.09208401997485134,7.175181310807464
BLZ,24,0.03625004466775669,18.77257165011887
BMU,18,0.10350297118365223,6.343998502956471
BOL,28,0.03044076343485965,22.422002056354305
BRA,32,0.04367396651658531,15.521793416319
BRB,22,0.031427491105475235,21.707023130073704
BRN,23,0.05555555555555555,12.126774240111912
BTN,25,0.0692664009479694,9.65625601165521
BWA,22,0.03294458462663298,20.69128260508078
CAF,24,0.0010230375376508072,677.1917322536863
CAN,33,0.06787098819051064,9.862083766762296
CHE,30,0.09840823037066541,6.691033212149833
CHL,31,0.04827410221281256,14.009140722853346
CHN,30,0.042405322838714954,15.996682447408384
CIV,25,0.002620450680310304,264.16776686569654
CMR,27,0.00919963181094421,74.99799275529799
COD,26,0.0014071569066564178,492.24033184012364
COG,26,0.0055014647809550985,125.64631286686145
COL,29,0.048705218376188124,13.882019086353647
COM,25,0.005133690042780751,134.67241831457474
CPV,27,0.040294117647058855,16.85324360855985
CRI,29,0.03990699797296911,17.020137566195082
CUB,28,0.015893256686312585,43.265159776913535
CUW,1,0.1644197007818094,3.8587747551550127
CYM,14,0.09207459207459188,7.175952665362468
CYP,28,0.07017112438838075,9.52717889791055
CZE,30,0.05402823033701898,12.479570230147504
DEU,32,0.10212661156020673,6.434340894080172
DJI,29,0.015328584411807194,44.87179000790954
DMA,25,0.057999965142857136,11.600795961800966
DNK,22,0.11184727545308387,5.843841519999495
DOM,28,0.05648984230324051,11.920365503202307
DZA,29,0.024938646573332092,27.446065393876633
ECU,31,0.032926706477994894,20.70270760663432
EGY,31,0.020000000000000018,34.309618491520645
ERI,21,0.0009055234330684902,765.1191315060372
ESP,33,0.06930693069306924,9.650401554505525
EST,29,0.07344477939161413,9.086685046972388
ETH,29,0.001011708330506278,684.778872654096
FIN,30,0.08636630929853105,7.6738760396013985
FJI,31,0.023593127449343644,29.031246050535888
FRA,32,0.05846076926257607,11.506567996193885
FRO,19,0.13663310635002573,4.71799768071551
FSM,26,0.01631683890251721,42.132958097395964
GAB,28,0.020675666494192207,33.177000109229816
GBR,29,0.08806488991888763,7.518970908456633
GEO,28,0.04660047418466672,14.524921689123392
GHA,28,0.012618529201230962,54.58359407678068
GIB,14,0.06230894445818827,10.774071366704728
GIN,30,0.0018515943370074261,374.00485344228616
GMB,29,0.014940066800174042,46.047743097775296
GNB,26,0.002813611374234377,246.00824605299778
GNQ,25,0.027606780903954794,24.759669034175683
GRC,33,0.041935387349035444,16.179884296547897
GRD,34,0.016592417498712785,41.42739604668336
GRL,22,0.03548088774892273,19.187129995924696
GTM,29,0.016827948588751473,40.84268252621601
GUM,23,0.06884342096262953,9.717765980464073
GUY,28,0.027281638792335104,25.05892339286183
HKG,32,0.0810981346112224,8.195559253241566
