scenario,initial_capacity,time,capacity,substitute_share
capacity trap,0.15,0.0,0.15,0.9996702183654522
capacity trap,0.15,1.0,0.14350131997413967,0.9997065277040755
capacity trap,0.15,2.0,0.13703705401463132,0.9997386790075878
capacity trap,0.15,3.0,0.13074540539071217,0.9997665866605013
capacity trap,0.15,4.0,0.12475438695298431,0.999790386378143
capacity trap,0.15,5.0,0.11917108652487203,0.9998103770217917
capacity trap,0.15,6.0,0.11407412406987848,0.9998269572977312
capacity trap,0.15,7.0,0.10951038982060503,0.9998405691694898
capacity trap,0.15,8.0,0.10549605158479475,0.9998516545303976
capacity trap,0.15,9.0,0.10202088935468404,0.9998606266584052
capacity trap,0.15,10.0,0.09905453721912168,0.9998678546279998
capacity trap,0.15,11.0,0.09655322225896038,0.9998736573938865
capacity trap,0.15,12.0,0.09446593267967208,0.9998783041771583
capacity trap,0.15,13.0,0.09273940801995548,0.9998820184046836
capacity trap,0.15,14.0,0.09132175553659794,0.9998849832631878
capacity trap,0.15,15.0,0.0901647789402422,0.999887347652545
capacity trap,0.15,16.0,0.08922525186829317,0.9998892318607592
capacity trap,0.15,17.0,0.08846541091833446,0.9998907326383918
capacity trap,0.15,18.0,0.08785292299998354,0.9998919275633359
capacity trap,0.15,19.0,0.08736053343384034,0.9998928787030527
capacity trap,0.15,20.0,0.08696554694839755,0.9998936356373395
capacity trap,0.15,21.0,0.08664924519418526,0.9998942379258511
capacity trap,0.15,22.0,0.0863963060272644,0.9998947171072163
capacity trap,0.15,23.0,0.0861942619245578,0.9998950983102336
capacity trap,0.15,24.0,0.08603301593684122,0.9998954015476965
capacity trap,0.15,25.0,0.08590442148278551,0.9998956427526959
capacity trap,0.15,26.0,0.08580192507995567,0.9998958346071329
capacity trap,0.15,27.0,0.08572026720481259,0.9998959872032318
capacity trap,0.15,28.0,0.08565523468842301,0.9998961085712029
capacity trap,0.15,29.0,0.08560345755655156,0.9998962050998413
capacity trap,0.15,30.0,0.08556224345594267,0.9998962818716066
capacity trap,0.15,31.0,0.08552944341612646,0.9998963429294632
capacity trap,0.15,32.0,0.08550334345874921,0.9998963914893184
capacity trap,0.15,33.0,0.0854825773562103,0.9998964301091068
capacity trap,0.15,34.0,0.08546605658869418,0.9998964608233464
capacity trap,0.15,35.0,0.0854529142200984,0.999896485250202
capacity trap,0.15,36.0,0.0854424599969365,0.9998965046766636
capacity trap,0.15,37.0,0.0854341444702238,0.9998965201263095
capacity trap,0.15,38.0,0.08542753035510568,0.9998965324132096
capacity trap,0.15,39.0,0.08542226968581096,0.9998965421848007
capacity trap,0.15,40.0,0.08541808560442085,0.9998965499559919
capacity trap,0.15,41.0,0.08541475785060355,0.9998965561362894
capacity trap,0.15,42.0,0.08541211120464942,0.999896561051371
capacity trap,0.15,43.0,0.08541000628553752,0.9998965649602461
capacity trap,0.15,44.0,0.08540833222591859,0.9998965680689014
capacity trap,0.15,45.0,0.08540700084230837,0.9998965705411557
capacity trap,0.15,46.0,0.0854059419959963,0.9998965725072916
capacity trap,0.15,47.0,0.0854050999019218,0.999896574070921
capacity trap,0.15,48.0,0.08540443019209282,0.9998965753144444
capacity trap,0.15,49.0,0.08540389757948239,0.9998965763033939
capacity trap,0.15,50.0,0.08540347399973106,0.9998965770898856
capacity trap,0.15,51.0,0.0854031371330004,0.9998965777153663
capacity trap,0.15,52.0,0.08540286922825668,0.9998965782127985
capacity trap,0.15,53.0,0.08540265616813554,0.9998965786083964
capacity trap,0.15,54.0,0.08540248672517715,0.9998965789230074
capacity trap,0.15,55.0,0.08540235197028062,0.9998965791732111
capacity trap,0.15,56.0,0.08540224480223152,0.9998965793721927
capacity trap,0.15,57.0,0.08540215957352675,0.9998965795304389
capacity trap,0.15,58.0,0.08540209179278953,0.9998965796562888
capacity trap,0.15,59.0,0.08540203788809901,0.9998965797563747
capacity trap,0.15,60.0,0.08540199501876644,0.999896579835971
capacity trap,0.15,61.0,0.0854019609256419,0.9998965798992724
capacity trap,0.15,62.0,0.08540193381206458,0.9998965799496146
capacity trap,0.15,63.0,0.08540191224918359,0.9998965799896506
capacity trap,0.15,64.0,0.08540189510066103,0.9998965800214904
capacity trap,0.15,65.0,0.08540188146278936,0.999896580046812
capacity trap,0.15,66.0,0.08540187061686769,0.9998965800669499
capacity trap,0.15,67.0,0.08540186199132742,0.9998965800829649
capacity trap,0.15,68.0,0.08540185513161146,0.9998965800957015
capacity trap,0.15,69.0,0.08540184967621968,0.9998965801058306
capacity trap,0.15,70.0,0.08540184533765825,0.999896580113886
capacity trap,0.15,71.0,0.08540184188728925,0.9998965801202925
capacity trap,0.15,72.0,0.08540183914328148,0.9998965801253873
