repair_baseline,substitute_damage,regime,stable_count,low_trap_present,high_state_present,lower_boundary_present
0.14,0.05,bridge region,1,False,True,False
0.14,0.05616666666666667,bridge region,1,False,True,False
0.14,0.06233333333333334,bridge region,1,False,True,False
0.14,0.0685,bridge region,1,False,True,False
0.14,0.07466666666666667,bridge region,1,False,True,False
0.14,0.08083333333333334,bridge region,1,False,True,False
0.14,0.087,bridge region,1,False,True,False
0.14,0.09316666666666668,bridge region,1,False,True,False
0.14,0.09933333333333333,threshold trap,2,True,True,False
0.14,0.10550000000000001,threshold trap,2,True,True,False
0.14,0.11166666666666666,threshold trap,2,True,True,False
0.14,0.11783333333333335,threshold trap,2,True,True,False
0.14,0.124,threshold trap,2,True,True,False
0.14,0.13016666666666665,threshold trap,2,True,True,False
0.14,0.13633333333333333,threshold trap,2,True,True,False
0.14,0.14250000000000002,collapse-prone,2,True,True,True
0.14,0.14866666666666667,collapse-prone,2,True,True,True
0.14,0.15483333333333332,collapse-prone,2,True,True,True
0.14,0.161,collapse-prone,2,True,True,True
0.14,0.16716666666666669,collapse-prone,2,True,True,True
0.14,0.17333333333333334,collapse-prone,2,True,True,True
0.14,0.1795,collapse-prone,2,True,True,True
0.14,0.1856666666666667,collapse-prone,2,True,True,True
0.14,0.19183333333333336,collapse-prone,2,True,True,True
0.14,0.198,collapse-prone,2,True,True,True
0.14,0.20416666666666666,collapse-prone,2,True,True,True
0.14,0.21033333333333332,collapse-prone,2,True,True,True
0.14,0.21650000000000003,collapse-prone,2,True,True,True
0.14,0.22266666666666668,collapse-prone,2,True,True,True
0.14,0.22883333333333333,collapse-prone,2,True,True,True
0.14,0.235,collapse-prone,2,True,True,True
0.14,0.2411666666666667,collapse-prone,2,True,True,True
0.14,0.24733333333333335,collapse-prone,2,True,True,True
0.14,0.2535,collapse-prone,2,True,True,True
0.14,0.25966666666666666,collapse-prone,2,True,True,True
0.14,0.2658333333333333,collapse-prone,2,True,True,True
0.14,0.272,collapse-prone,2,True,True,True
0.14,0.2781666666666667,collapse-prone,2,True,True,True
0.14,0.2843333333333333,collapse-prone,2,True,True,True
0.14,0.2905,collapse-prone,2,True,True,True
0.14,0.2966666666666667,collapse-prone,2,True,True,True
0.14,0.30283333333333334,collapse-prone,2,True,True,True
0.14,0.309,collapse-prone,2,True,True,True
0.14,0.31516666666666665,collapse-prone,2,True,True,True
0.14,0.32133333333333336,collapse-prone,2,True,True,True
0.14,0.32749999999999996,collapse-prone,2,True,True,True
0.14,0.33366666666666667,collapse-prone,2,True,True,True
0.14,0.3398333333333333,collapse-prone,2,True,True,True
0.14,0.346,collapse-prone,2,True,True,True
0.14,0.35216666666666663,collapse-prone,2,True,True,True
0.14,0.35833333333333334,collapse-prone,2,True,True,True
0.14,0.3645,collapse-prone,2,True,True,True
0.14,0.37066666666666664,collapse-prone,2,True,True,True
0.14,0.3768333333333333,collapse-prone,2,True,True,True
0.14,0.383,collapse-prone,2,True,True,True
0.14,0.38916666666666666,collapse-prone,2,True,True,True
0.14,0.3953333333333333,collapse-prone,2,True,True,True
