selection_metric,competition_intensity,time,bridge_share,bridge_capacity,sink_capacity,bridge_selection_score,sink_selection_score,bridge_material_growth,sink_material_growth,mean_material_growth,population_mass
material viability,0.0,0.0,0.5,0.15,0.15,-0.04559436967823279,-0.045986808734618086,-0.04559436967823279,-0.045986808734618086,-0.04579058920642544,1.0
material viability,0.0,1.0,0.5,0.2262300898669872,0.14350131997413967,-0.04054998380697189,-0.04637818190971464,-0.04054998380697189,-0.04637818190971464,-0.043464082858343266,0.9562578407752316
material viability,0.0,2.0,0.5,0.3217186394205687,0.13703705401463132,-0.03344499421665617,-0.04676732391942563,-0.03344499421665617,-0.04676732391942563,-0.0401061590680409,0.9169171351853951
material viability,0.0,3.0,0.5,0.4581739064193398,0.13074540539071217,-0.01971768116826998,-0.04714593914297732,-0.01971768116826998,-0.04714593914297732,-0.03343181015562365,0.8832599656734331
material viability,0.0,4.0,0.5,0.6453655430340038,0.12475438695298431,0.008633938054066499,-0.047506352237946664,0.008633938054066499,-0.047506352237946664,-0.019436207091940085,0.8594961440050799
material viability,0.0,5.0,0.5,0.7895546439159127,0.11917108652487203,0.02752406590152011,-0.04784214988937935,0.02752406590152011,-0.04784214988937935,-0.01015904199392962,0.8474825523172907
material viability,0.0,6.0,0.5,0.8311272844621633,0.11407412406987848,0.031563127920968645,-0.04814863084771654,0.031563127920968645,-0.04814863084771654,-0.008292751463373948,0.8398998364730802
material viability,0.0,7.0,0.5,0.8381600504552323,0.10951038982060503,0.03219735172297204,-0.04842299937754329,0.03219735172297204,-0.04842299937754329,-0.008112823827285624,0.833073059289423
material viability,0.0,8.0,0.5,0.8392111590866499,0.10549605158479475,0.03229104830390729,-0.04866430308612822,0.03229104830390729,-0.04866430308612822,-0.008186627391110465,0.826317554747151
material viability,0.0,9.0,0.5,0.8393651560211912,0.10202088935468404,0.03230475226373557,-0.04887317170505517,0.03230475226373557,-0.04887317170505517,-0.0082842097206598,0.8195421947848085
material viability,0.0,10.0,0.5,0.8393876513848529,0.09905453721912168,0.03230675359294402,-0.04905144195197269,0.03230675359294402,-0.04905144195197269,-0.008372344179514334,0.8127460841520772
material viability,0.0,11.0,0.5,0.8393909360124324,0.09655322225896038,0.032307045803438045,-0.04920175296021784,0.032307045803438045,-0.04920175296021784,-0.008447353578389896,0.8059403153188867
material viability,0.0,12.0,0.5,0.8393914155822253,0.09446593267967208,0.03230708846720321,-0.04932717620630601,0.03230708846720321,-0.04932717620630601,-0.008510043869551398,0.7991363589196324
